id,name,element,rarity,emoji,baseHP,baseATK,baseDEF,baseSPD,skillName,skillCost,skillMultiplier,evolutionLevel,evolutionTarget,leaderSkill,isBoss,silhouette,keyFeatures,faceType,bodyForm,designNote,nickname,palette,evolutionForm,vibe
enemy_036,星耀元素,star,1,💫,68,11,44,24,星弹,5,2.2,,,,false,,,,,,,,,
enemy_037,混沌狼崽,chaos,1,🐺,72,12,52,20,混沌爪,5,1.8,,,,false,,,,,,,,,
enemy_038,混沌幽灵,chaos,1,👻,74,12,52,30,穿混沌,5,2.0,,,,false,,,,,,,,,
enemy_039,混沌祭司,chaos,1,🕯️,69,12,51,16,混沌祈福,5,1.8,,,,false,,,,,,,,,
enemy_040,混沌噬星兽,chaos,1,🦎,79,12,53,24,星蚀混沌,5,2.2,,,,false,,,,,,,,,
enemy_041,混沌元素,chaos,1,🌀,76,12,52,26,混沌弹,5,2.1,,,,false,,,,,,,,,
enemy_042,光耀狼崽,light,1,🐺,90,13,62,22,光爪,5,1.9,,,,false,,,,,,,,,
enemy_043,光耀幽灵,light,1,👻,84,13,62,30,穿光,5,2.1,,,,false,,,,,,,,,
enemy_044,光耀祭司,light,1,🕯️,94,13,63,18,光祈,5,1.9,,,,false,,,,,,,,,
enemy_045,光蚀兽,light,1,🦎,78,13,61,26,光蚀,5,2.0,,,,false,,,,,,,,,
enemy_046,光耀元素,light,1,💫,89,13,62,28,光弹,5,2.2,,,,false,,,,,,,,,
